Codigo,Articulo,Unidad_de_Medida,Consumo
4Q,MEZCLA 4 QUESOS,Kilogramo,4.97
5Q,MEZCLA 5 QUESOS,Kilogramo,0.86
5QGO,MEZCLA 5 QUESOS GOURMET,Kilogramo,2.08
ABRG,SALSA AMERICAN BURGER 220ML,Kilogramo,0.31
ACE,ACEITE DE OLIVA AJO (TP),Litro,0.10
ACOSP,ACEITE OLIVA SPRAY,Gramo,5.00
AEG,ALITAS ENVASE GRANDE,Unidad,0
AF15,"BOTELLA AGUA 1,5L FONTVELLA",Unidad,6.00
AF50,"BOTELLA AGUA 0,5L FONTVELLA",Unidad,10.00
AGLA,ZZ AZUCAR GLASS 250 GR,Kilogramo,0
AN,ACEITUNAS NEGRAS,Kilogramo,0.92
ANCA,PET AQUARADE NARANJA ZERO 1.50,Unidad,0
APRE,ME ALITAS DE POLLO PREFRITA,Kilogramo,2.23
ARCEB,AROS DE CEBOLLA,Kilogramo,0
AT,ATUN,Kilogramo,1.09
ATN,ALITAS DE POLLO NORMAL,Kilogramo,1.17
AZNE,AZUCAR 8 GR NESPRESSO,Unidad,0
BA,BACON FRANQUI,Kilogramo,11.64
BBQH,ME SALSA BBQ HONEY 32X45GR,Unidad,1.00
BCC,BARRIL CRUZCAMPO,Litro,0
BCHE,BORDE QUESO CLASICO 6KG,Kilogramo,0.40
BCHI,YY BORDE QUESO PICANTON 6KG,Kilogramo,0
BCK,BARRIL HEINEKEN,Litro,4.50
BCRY5,BACON CRISPY,Kilogramo,1.50
BDOS05,"BOTELLA DOSIFICADOR 0,5L",Unidad,0
BDOS1,BOTELLA DOSIFICADOR 1L,Unidad,0
BEBR,BERENJENA BRASEADA,Kilogramo,0.07
BF,BOLA FAMILIAR,Bola,29.00
BFM28,BASE FINA MEDIANA 280 MM,Unidad,12.00
BITA,BORDE QUESO MEDITERRANEO 6KG,Kilogramo,0.10
BKME,ZZ BOLA CACAO MEDIANA,Bola,0
BLOO,ME SALSA BLOODY ONION,Unidad,0
BLSCMP,BOLSA COMPLEMENTOS,Unidad,5.00
BM,BOLA MEDIANA,Bola,157.00
BP,BOLA PEQUE?A,Bola,196.75
BPAD,BOLSA PAPEL DOMICILIO,Unidad,0
BPAT,ME BOLSA PATATAS MENEO,Unidad,6.00
BPDM,ME BOLSA PAPEL DOMICILIO MENEO,Unidad,24.00
BQCH6,YY BORDE QUESO CHORIZO 6KG,Kilogramo,0
BSA,BOLA SUPER AHORRO,Bola,2.00
BTCO2,BOTELLA CO2 MEDIANA 10 KG,Kilogramo,0
C250,MP - CEBOLLA CORTADA 250 GR,Kilogramo,0
CA,CARNE,Kilogramo,6.79
CACHA,CAJA COMBO HAMBURGUESA,Unidad,0
CACOO,CAJA COOKIE 2025,Unidad,0
CAFF2,CAFE INTENSO,Unidad,0
CAFF3,CAFE CLASSICO 10 CPS,Unidad,0
CAJU,ME SAZONADOR CAJUN APIO,Kilogramo,0.00
CAKE,CAJA COMBO 2025,Unidad,3.00
CAMML,CAMISETA MUJER 19 T.L,Unidad,0
CAMMM,CAMISETA MUJER 19 T.M,Unidad,0
CASA,CAJA SANDWICH 2022,Unidad,8.00
CATP,CALCETINES,Unidad,0
CC1S,CAJA COMPLEMENTOS 1 SALSA,Unidad,23.00
CCARM,CEBOLLA CARAMELIZADA MORENO,Kilogramo,0.20
CCHME,ME CAJA COMBO HAMBURGUESA MENE,Unidad,1.00
CCPOPS,POPS POLLO,Kilogramo,1.17
CCRT,ME CRUNCHY CEBOLLA CRISPY TARR,Kilogramo,0.03
CEN,CEBOLLA CONGELADA,Kilogramo,1.75
CETQPZ,CELIACOS ETIQUETA PIZZAS,Unidad,1.00
CF,CAJA FAMILIAR,Unidad,39.00
CH,CHAMPI?ON,Kilogramo,5.44
CHB4,TARRINA CHOCOLATE BELGA 460 ML,Unidad,1.00
CHB9,TARRINA CHOCOLATE BELGA 95 ML,Unidad,0
CHMI,ME CAJA HEXAGONAL MINI,Unidad,5.00
CHMX,ME CAJA HEXAGONAL MAXI,Unidad,6.00
CHORI,CHORIZO,Kilogramo,0.18
CHUN,ME CHUNKS DE POLLO 6X1KG,Kilogramo,0.79
CM,CAJA MEDIANA SIN ESQUINAS,Unidad,269.00
CMI2,CAJA MENU INFANTIL 2020,Unidad,0
CMIC,CAJA PIZZA INFANTIL,Unidad,2.00
CNES,CAPSULAS NESPRESSO 50 UDS,Unidad,0
CNO,YY CERDO NUEVA ORLEANS,Kilogramo,0
COC4,TARRINA COOKIES&CREAM 460 ML,Unidad,3.00
COC9,TARRINA COOKIE&CREAM 95 ML,Unidad,2.00
COMCH,ME COPITA MULTICAPA CHOCOLATE,Unidad,0
CONTO,CONCENTRADO DE TOMATE,Kilogramo,13.86
CORNXL,ME CORTAVIENTOS NEGRO T XL,Unidad,0
COTCH,COOKIE TRIPLE CHOCOLATE,Unidad,0
CP,CAJA PEQUE?A,Unidad,5.00
CPBBQ,CELIACOS PIZZA BARBACOA,Unidad,0
CPBX,CAJA PEQUE?A TELEPIBOX,Unidad,0
CPCAR,CELIACOS PIZZA CARBONARA,Unidad,0
CPGR,CHEETOS PANDILLA B.GRANDE 75GR,Unidad,0
CPPQ,CHEETOS PANDILLA B.PEQ 31GR,Unidad,0
CPZ2,ZZ CAJA SWEET PIZZOLINOS,Unidad,0
CPZJB,CELIACOS PIZZA YORK BACON,Unidad,1.00
CR,NATA DE LUXTOR,Kilogramo,6.31
CRBC,ME CRUNCHY BACON 500GR,Kilogramo,0.02
CRCH,ME CRUNCHY SPICY CHICKEN 500GR,Kilogramo,0
CRCM,ME CRUNCHY MANGO 500GR,Kilogramo,0
CRIS,CRISTALINO,Kilogramo,0.08
CRJA,ME CRUNCHY JALAPE?O 500GR,Kilogramo,0
CRPZ,CORTADOR TOP 50,Unidad,0
DCHO,DANET CHOCO,Unidad,0
DGI2,ZZ DELANTAL Y GORRO INFANTIL 2,Unidad,0
DJL,YY DIORAMA JUSTICE LEAGUE,Unidad,0
DOGR,DORITOS TEX MEX (160GR),Unidad,0
DOPQ,DORITOS TEX MEX B.PEQ 44GR,Unidad,0
DPOU,DANONINO BEBEDINO FRESA,Unidad,2.00
ENVMN,ENVASE MINIS (TP),Unidad,0
EQ,TOPPING PARA MOZZARELLA,Kilogramo,48.42
ESAM,ME ETIQUETA SALSERA MENEO RAME,Unidad,4.00
ETBI,ETIQUETA BLANCA 55X50 IMPRESOR,Unidad,0
EU66,ENVASE EUROAHORRO 660 UDS,Unidad,0
EWRAP,MP - ENVASE WRAP,Unidad,1.00
FANMI,FANTASMIKOS,Unidad,1.00
FINQ,CRUJIENTES (FINGERS) DE QUE,Kilogramo,0
GAMBC,YY GAMBA COCIDA,Kilogramo,0.14
GUINF,GUANTES INFANTIL 2020,Unidad,0
HAMPR,HAMBURGUESA POLLO REBOZADA 100,Kilogramo,0.10
HAMSV,HAMBURGUESA SMASH VACUNO,Kilogramo,0
HAR,SEMOLA DE ROBLE,Kilogramo,7.70
JA,JAMON FRANQUI,Kilogramo,3.84
JIBE,JAMON IBERICO,Kilogramo,0.07
KHD,SOBRES KETCHUP,Unidad,13.00
KIKAM,KIT KAT MIX,Kilogramo,0.09
LA33,LATA CERVEZA AMSTEL 33CC,Unidad,2.00
LAGR,LAYS SAL B.GRANDE 160GR,Unidad,0
LAPQ,LAYS SAL B.PEQ 44GR,Unidad,0
LASF,LATA CERVEZA EL AGUILA S FILTR,Unidad,0
LCAR,LATA CERVEZA AMSTEL RADLER,Unidad,0
LCB,LATA DE CERVEZA BUCKLER SIN AL,Unidad,0
LCC,LATA DE CERVEZA CRUZCAMPO,Unidad,6.00
LCCS,LATA CERVEZA CRUZCAMPO 0.0,Unidad,0
LCH,LATA DE CERVEZA HEINEKEN,Unidad,1.00
LDES,LATA DESPERADOS 50 CC,Unidad,0
LMEN,ZZ LATA MONSTER ENERGY,Unidad,0
LMML,ZZ LATA MONSTER MANGO LOCO,Unidad,0
LMUW,ZZ LATA MONSTER ULTRA WHITE,Unidad,0
LMZE,ZZ LATA MONSTER ZERO,Unidad,0
LRBG,LATA RED BULL ICE GUMMY 250 ML,Unidad,0
LRBR,LATA RED BULL 250 ML (ENERGY D,Unidad,0
LRBW,LATA RED BULL WATERMELON 250 M,Unidad,0
